V1 V2
1 timeDomainBodyAcceleration_MeanX
2 timeDomainBodyAcceleration_MeanY
3 timeDomainBodyAcceleration_MeanZ
4 timeDomainBodyAcceleration_stdX
5 timeDomainBodyAcceleration_stdY
6 timeDomainBodyAcceleration_stdZ
41 timeDomainGravityAcceleration_MeanX
42 timeDomainGravityAcceleration_MeanY
43 timeDomainGravityAcceleration_MeanZ
44 timeDomainGravityAcceleration_stdX
45 timeDomainGravityAcceleration_stdY
46 timeDomainGravityAcceleration_stdZ
81 timeDomainBodyAcceleration_JerkMeanX
82 timeDomainBodyAcceleration_JerkMeanY
83 timeDomainBodyAcceleration_JerkMeanZ
84 timeDomainBodyAcceleration_JerkstdX
85 timeDomainBodyAcceleration_JerkstdY
86 timeDomainBodyAcceleration_JerkstdZ
121 timeDomainBodyGyroMeanX
122 timeDomainBodyGyroMeanY
123 timeDomainBodyGyroMeanZ
124 timeDomainBodyGyrostdX
125 timeDomainBodyGyrostdY
126 timeDomainBodyGyrostdZ
161 timeDomainBodyGyroJerkMeanX
162 timeDomainBodyGyroJerkMeanY
163 timeDomainBodyGyroJerkMeanZ
164 timeDomainBodyGyroJerkstdX
165 timeDomainBodyGyroJerkstdY
166 timeDomainBodyGyroJerkstdZ
201 timeDomainBodyAcceleration_MagnitudeMean
202 timeDomainBodyAcceleration_Magnitudestd
214 timeDomainGravityAcceleration_MagnitudeMean
215 timeDomainGravityAcceleration_Magnitudestd
227 timeDomainBodyAcceleration_JerkMagnitudeMean
228 timeDomainBodyAcceleration_JerkMagnitudestd
240 timeDomainBodyGyroMagnitudeMean
241 timeDomainBodyGyroMagnitudestd
253 timeDomainBodyGyroJerkMagnitudeMean
254 timeDomainBodyGyroJerkMagnitudestd
266 FrequencyDomainBodyAcceleration_MeanX
267 FrequencyDomainBodyAcceleration_MeanY
268 FrequencyDomainBodyAcceleration_MeanZ
269 FrequencyDomainBodyAcceleration_stdX
270 FrequencyDomainBodyAcceleration_stdY
271 FrequencyDomainBodyAcceleration_stdZ
294 FrequencyDomainBodyAccelerationMeanFreqX
295 FrequencyDomainBodyAccelerationMeanFreqY
296 FrequencyDomainBodyAccelerationMeanFreqZ
345 FrequencyDomainBodyAcceleration_JerkMeanX
346 FrequencyDomainBodyAcceleration_JerkMeanY
347 FrequencyDomainBodyAcceleration_JerkMeanZ
348 FrequencyDomainBodyAcceleration_JerkstdX
349 FrequencyDomainBodyAcceleration_JerkstdY
350 FrequencyDomainBodyAcceleration_JerkstdZ
373 FrequencyDomainBodyAcceleration_JerkMeanFreqX
374 FrequencyDomainBodyAcceleration_JerkMeanFreqY
375 FrequencyDomainBodyAcceleration_JerkMeanFreqZ
424 FrequencyDomainBodyGyroMeanX
425 FrequencyDomainBodyGyroMeanY
426 FrequencyDomainBodyGyroMeanZ
427 FrequencyDomainBodyGyrostdX
428 FrequencyDomainBodyGyrostdY
429 FrequencyDomainBodyGyrostdZ
452 FrequencyDomainBodyGyroMeanFreqX
453 FrequencyDomainBodyGyroMeanFreqY
454 FrequencyDomainBodyGyroMeanFreqZ
503 FrequencyDomainBodyAcceleration_MagnitudeMean
504 FrequencyDomainBodyAcceleration_Magnitudestd
513 FrequencyDomainBodyAcceleration_MagnitudeMeanFreq
516 FrequencyDomainBodyAcceleration_JerkMagnitudeMean
517 FrequencyDomainBodyAcceleration_JerkMagnitudestd
526 FrequencyDomainBodyAcceleration_JerkMagnitudeMeanFreq
529 FrequencyDomainBodyGyroMagnitudeMean
530 FrequencyDomainBodyGyroMagnitudestd
539 FrequencyDomainBodyGyroMagnitudeMean
542 FrequencyDomainBodyGyroJerkMagnitudeMean
543 FrequencyDomainBodyGyroJerkMagnitudestd
552 FrequencyDomainBodyGyroJerkMagnitudeMean
562 Subjects
563 Activity
